UserName,FatherName,DateOfBirth,EmailId,CNIC,Password,Address,MobileNumber,Gender,LastPassedExam,LastExamTotalMarks,LastExamObtainedMarks,RegNumber,EnrollmentCourse,SectionName,ParentsEmail,ProfilePicture
MUHAMMAD HUSNAIN IQBAL,,29/08/1998,2015-CS-28@gmail.com,36301234585,P@ssw0rd,UET,34512345696,Male,FSC,1100,868,2015-CS-28,,,,/Images/Accounts/ad174636599.png
MUHAMMAD FAHAD KHAN CHUGHTAI,,30/08/1998,2015-CS-30@gmail.com,36301234586,P@ssw0rd,UET,34512345697,Male,FSC,1100,869,2015-CS-30,,,,/Images/Accounts/ad174636599.png
MUHAMMAD ADNAN,,31/08/1998,2015-CS-51@gmail.com,36301234587,P@ssw0rd,UET,34512345698,Male,FSC,1100,870,2015-CS-51,,,,/Images/Accounts/ad174636599.png
ALI RAZA ,,01/09/1998,2015-CS-52@gmail.com,36301234588,P@ssw0rd,UET,34512345699,Male,FSC,1100,871,2015-CS-52,,,,/Images/Accounts/ad174636599.png
MUHAMMAD ARUANGZAIB,,02/09/1998,2015-CS-53@gmail.com,36301234589,P@ssw0rd,UET,34512345700,Male,FSC,1100,872,2015-CS-53,,,,/Images/Accounts/ad174636599.png
MUHAMMAD RAMZAN,,03/09/1998,2015-CS-54@gmail.com,36301234590,P@ssw0rd,UET,34512345701,Male,FSC,1100,873,2015-CS-54,,,,/Images/Accounts/ad174636599.png
HUSSAIN AHMAD,,04/09/1998,2015-CS-55@gmail.com,36301234591,P@ssw0rd,UET,34512345702,Male,FSC,1100,874,2015-CS-55,,,,/Images/Accounts/ad174636599.png
ABDULLAH NASIR,,05/09/1998,2015-CS-56@gmail.com,36301234592,P@ssw0rd,UET,34512345703,Male,FSC,1100,875,2015-CS-56,,,,/Images/Accounts/ad174636599.png
ZAHID JABBAR,,06/09/1998,2015-CS-57@gmail.com,36301234593,P@ssw0rd,UET,34512345704,Male,FSC,1100,876,2015-CS-57,,,,/Images/Accounts/ad174636599.png
USAMA NASIR,,07/09/1998,2015-CS-59@gmail.com,36301234594,P@ssw0rd,UET,34512345705,Male,FSC,1100,877,2015-CS-59,,,,/Images/Accounts/ad174636599.png
ALI ABID,,08/09/1998,2015-CS-60@gmail.com,36301234595,P@ssw0rd,UET,34512345706,Male,FSC,1100,878,2015-CS-60,,,,/Images/Accounts/ad174636599.png
ATA UR REHMAN,,09/09/1998,2015-CS-61@gmail.com,36301234596,P@ssw0rd,UET,34512345707,Male,FSC,1100,879,2015-CS-61,,,,/Images/Accounts/ad174636599.png
MUHAMMAD TANZEEL SARFRAZ,,10/09/1998,2015-CS-62@gmail.com,36301234597,P@ssw0rd,UET,34512345708,Male,FSC,1100,880,2015-CS-62,,,,/Images/Accounts/ad174636599.png
MALIK MUHAMMAD MURSALEEN,,11/09/1998,2015-CS-64@gmail.com,36301234598,P@ssw0rd,UET,34512345709,Male,FSC,1100,881,2015-CS-64,,,,/Images/Accounts/ad174636599.png
HAMAD JAVED,,12/09/1998,2015-CS-65@gmail.com,36301234599,P@ssw0rd,UET,34512345710,Male,FSC,1100,882,2015-CS-65,,,,/Images/Accounts/ad174636599.png
HAFIZ HASSAN TARIQ,,13/09/1998,2015-CS-67@gmail.com,36301234600,P@ssw0rd,UET,34512345711,Male,FSC,1100,883,2015-CS-67,,,,/Images/Accounts/ad174636599.png
MUHAMMAD DANISH NAZIR,,14/09/1998,2015-CS-68@gmail.com,36301234601,P@ssw0rd,UET,34512345712,Male,FSC,1100,884,2015-CS-68,,,,/Images/Accounts/ad174636599.png
MUHAMMAD ANAS IRFAN,,15/09/1998,2015-CS-69@gmail.com,36301234602,P@ssw0rd,UET,34512345713,Male,FSC,1100,885,2015-CS-69,,,,/Images/Accounts/ad174636599.png
SAMEER AJMAL,,16/09/1998,2015-CS-71@@gmail.com,36301234603,P@ssw0rd,UET,34512345714,Male,FSC,1100,886,2015-CS-71,,,,/Images/Accounts/ad174636599.png
MUSA BIN KASHIF,,17/09/1998,2015-CS-72@@gmail.com,36301234604,P@ssw0rd,UET,34512345715,Male,FSC,1100,887,2015-CS-72,,,,/Images/Accounts/ad174636599.png
AHMED BILAL,,18/09/1998,2015-CS-73@@gmail.com,36301234605,P@ssw0rd,UET,34512345716,Male,FSC,1100,888,2015-CS-73,,,,/Images/Accounts/ad174636599.png
HAKIM TABISH,,19/09/1998,2015-CS-77@gmail.com,36301234606,P@ssw0rd,UET,34512345717,Male,FSC,1100,889,2015-CS-77,,,,/Images/Accounts/ad174636599.png
